x,F(x),error
-3.0,0.0,0.0003892635585548043
-2.85437937473627,0.00017423039440759563,0.002127164586620133
-2.48480171540754,0.002391903971146805,0.012187021939811879
-2.16873116814053,0.010240783711984449,0.014329887749626584
-2.01809213744801,0.018379707865192163,0.014906252159466815
-1.79154853511304,0.04255131622516422,0.014944028830662544
-1.66365583058356,0.06516391985785572,0.015103272844915385
-1.46122230539209,0.12128556011774431,0.015569820837864165
-1.35088196963826,0.16438050563097387,0.017115815962982853
-1.13292608190593,0.28026767046523304,0.01957022867453142
-0.79666224589326,0.5278274702089113,0.022975116354909206
-0.616505770653855,0.6798596594129301,0.023321638151940615
-0.539195853250574,0.7436199597142,0.024249459418773996
-0.222138170138886,0.9384861659051134,0.024837708777570754
-0.184860046910561,0.9530280724322507,0.02500879347874685
-0.009894351066865,0.9860166094659661,0.0268972850989697
0.259226406694,0.9234498458382181,0.027633898030690156
0.53777857426519,0.7437561084222288,0.027635406789798336
0.559773686403637,0.7258980031173439,0.02763549719100617
0.726679176877826,0.5860730850510802,0.02861013140900065
1.07413067698226,0.3194421333991361,0.028630766566257255
1.10400418969969,0.29957169380580667,0.028817012482374723
1.23723645799675,0.2204287498320575,0.02882304501286178
1.47062454234934,0.11847541667817325,0.029378523211873484
1.51219358146156,0.10505806897423806,0.029394315364011714
1.56103831028581,0.09088683910776263,0.0296710823709525
1.72071972553538,0.05486595267840689,0.03220705661363629
2.0739681668917,0.013468524289338125,0.034262403096757425
2.4452269124991,0.0007373668225290116,0.03857714777738438
2.82086466967984,-0.0019583998439129573,0.03863719590287337
3.0,-0.0022016348473444863,0.03873814745256921
